Detailed	Progressive
Pastel	Весна, Ретро
Melancholy	Блюз, Рэп-лирика, Разлука, Романс
Noir	Побег, Память
HDR	Воспоминания
Vintage	Сказка, Инструментальная музыка
Long Exposure	Вечер, Ночь, Сказка, Фэнтези, Зарисовка
Horror	Death/metal core, Ужасы, Хоррор -рэп
Sunny	Лето, Пляжная, Здоровье
Bright	Лето, Пляжная
Hazy	Сказка, Фэнтези
Bokeh	Вечер, Романтика, Любовь МИНУС, Ночь
Serene	Downtempo Lounge, Chillout Dreams, Vocal Chillout
Texture	Deep Tech
Ethereal	gothic rock
Macro	Ню-джаз, Фанк, Jazz House
Depth of Field	Образные-Ассоциации
Geometric Composition	Оперная Ария, Классическая
Minimal	Minimal
Romantic	Любовь ПЛЮС, Эротичная, Романтика, Свидание, Вечер, Просто Любовь
